modified,created,deleted,renamed,total,mod_ratio,rename_ratio,rate,label
0,1,0,0,1,0.0,0.0,0.2,normal
0,2,0,0,2,0.0,0.0,0.4,normal
1,2,0,0,3,0.3333333333333333,0.0,0.6,normal
2,2,0,0,4,0.5,0.0,0.8,normal
3,2,0,0,1,3.0,0.0,0.2,normal
3,3,0,0,1,3.0,0.0,0.2,normal
4,3,0,0,2,2.0,0.0,0.4,normal
5,3,0,0,3,1.6666666666666667,0.0,0.6,normal
6,3,0,0,4,1.5,0.0,0.8,normal
7,3,0,0,1,7.0,0.0,0.2,normal
8,3,0,0,1,8.0,0.0,0.2,normal
9,3,0,0,1,9.0,0.0,0.2,normal
10,3,0,0,1,10.0,0.0,0.2,normal
11,3,0,0,1,11.0,0.0,0.2,normal
12,3,0,0,1,12.0,0.0,0.2,normal
13,3,0,0,1,13.0,0.0,0.2,normal
14,3,0,0,1,14.0,0.0,0.2,normal
15,3,0,0,1,15.0,0.0,0.2,normal
16,3,0,0,1,16.0,0.0,0.2,normal
17,3,0,0,1,17.0,0.0,0.2,normal
18,3,0,0,1,18.0,0.0,0.2,normal
19,3,0,0,1,19.0,0.0,0.2,normal
20,3,0,0,1,20.0,0.0,0.2,normal
21,3,0,0,1,21.0,0.0,0.2,normal
22,3,0,0,1,22.0,0.0,0.2,normal
23,3,0,0,1,23.0,0.0,0.2,normal
24,3,0,0,1,24.0,0.0,0.2,normal
24,3,0,1,2,12.0,0.5,0.4,normal
25,3,0,1,3,8.333333333333334,0.3333333333333333,0.6,normal
25,3,1,1,4,6.25,0.25,0.8,normal
26,3,1,1,5,5.2,0.2,1.0,normal
27,3,1,1,6,4.5,0.16666666666666666,1.2,normal
27,3,1,2,7,3.857142857142857,0.2857142857142857,1.4,normal
28,3,1,2,8,3.5,0.25,1.6,normal
28,3,2,2,9,3.111111111111111,0.2222222222222222,1.8,normal
29,3,2,2,10,2.9,0.2,2.0,normal
29,4,2,2,11,2.6363636363636362,0.18181818181818182,2.2,normal
30,4,2,2,12,2.5,0.16666666666666666,2.4,normal
31,4,2,2,13,2.3846153846153846,0.15384615384615385,2.6,normal
31,4,2,3,14,2.2142857142857144,0.21428571428571427,2.8,normal
32,4,2,3,15,2.1333333333333333,0.2,3.0,normal
32,4,3,3,16,2.0,0.1875,3.2,normal
33,4,3,3,17,1.9411764705882353,0.17647058823529413,3.4,normal
33,5,3,3,18,1.8333333333333333,0.16666666666666666,3.6,normal
34,5,3,3,19,1.7894736842105263,0.15789473684210525,3.8,normal
35,5,3,3,20,1.75,0.15,4.0,normal
35,5,3,4,21,1.6666666666666667,0.19047619047619047,4.2,normal
36,5,3,4,22,1.6363636363636365,0.18181818181818182,4.4,normal
36,5,4,4,23,1.565217391304348,0.17391304347826086,4.6,normal
37,5,4,4,24,1.5416666666666667,0.16666666666666666,4.8,normal
37,6,4,4,25,1.48,0.16,5.0,normal
38,6,4,4,26,1.4615384615384615,0.15384615384615385,5.2,normal
39,6,4,4,27,1.4444444444444444,0.14814814814814814,5.4,normal
39,6,4,5,28,1.3928571428571428,0.17857142857142858,5.6,normal
40,6,4,5,29,1.3793103448275863,0.1724137931034483,5.8,normal
40,6,5,5,30,1.3333333333333333,0.16666666666666666,6.0,normal
41,6,5,5,31,1.3225806451612903,0.16129032258064516,6.2,normal
41,7,5,5,32,1.28125,0.15625,6.4,normal
42,7,5,5,33,1.2727272727272727,0.15151515151515152,6.6,normal
43,7,5,5,34,1.2647058823529411,0.14705882352941177,6.8,normal
43,7,5,6,35,1.2285714285714286,0.17142857142857143,7.0,normal
44,7,5,6,36,1.2222222222222223,0.16666666666666666,7.2,normal
44,7,6,6,37,1.1891891891891893,0.16216216216216217,7.4,normal
45,7,6,6,38,1.1842105263157894,0.15789473684210525,7.6,normal
